tconst	averageRating	numVotes
tt0015724	6.1	26
tt0038086	7	26
tt0040844	3.3	186
tt0059325	6.4	249
tt0059900	6.6	37
tt0065188	6.5	36
tt0067460	6.7	22
tt0068494	5.1	18
tt0075259	6	53
tt0077432	5.4	13
tt0078006	7	31
tt0081145	5.4	276
tt0081721	6.3	315
tt0082473	6.7	119
tt0082631	6.8	377
tt0082891	5.6	228
tt0084015	7.3	43
tt0084447	6.2	195
tt0084551	5.5	22
tt0084638	7	410
tt0084660	7.1	12
tt0084870	7.1	380
tt0088267	5.6	109
tt0089544	5.4	29
tt0090008	5.6	153
tt0090144	8.1	228
tt0090665	6.6	1426
tt0090785	5.9	48
tt0091490	5.6	38
tt0091516	8	9
tt0091899	6.1	158
tt0092024	7.2	50
tt0092507	7.3	390
tt0092589	4.5	28
tt0092613	6.8	133
tt0092926	3	214
tt0092984	4.9	73
tt0093061	7.7	15
tt0093099	6	117
tt0093210	5.7	18
tt0093211	5.7	10
tt0093309	6.4	160
tt0093572	7.3	367
tt0093646	7.9	20
tt0093662	5.9	69
tt0093989	6.4	16
tt0094004	5.2	83
tt0094045	6.8	18
tt0094376	5.6	230
tt0094390	6.2	22
tt0094666	4.3	115
tt0094841	6.6	279
tt0094857	5.9	114
tt0094874	5	14
tt0094900	5.1	226
tt0094926	4.9	96
tt0094943	6.2	7
tt0094997	4.6	1651
tt0095006	4.6	35
tt0095095	5.3	84
tt0095111	7.7	939
tt0095201	5.5	25
tt0095229	6.7	21
tt0095248	6.3	7
tt0095290	5.6	41
tt0095335	4.3	12
tt0095394	7.1	173
tt0095401	5.6	179
tt0095450	7	334
tt0095469	6.6	35
tt0095571	8.3	39
tt0095576	5.6	22
tt0095745	2.6	326
tt0095761	5.2	22
tt0095831	4.3	7
tt0095840	4.4	79
tt0095902	6.7	50
tt0096025	5.7	70
tt0096035	5.2	6
tt0096038	6.5	21
tt0096075	5.2	54
tt0096090	5.2	20
tt0096107	7.3	933
tt0096154	4.4	117
tt0096174	6.3	92
tt0096177	4.5	102
tt0096222	5.3	82
tt0096254	7.4	26
tt0096397	6	10
tt0096405	5.2	170
tt0096469	5.3	27
tt0096500	7.2	11
tt0096513	6.7	221
tt0096749	5.2	28
tt0096752	8	83
tt0096763	5.9	29
tt0096767	3.4	54
tt0096775	5.6	33
tt0096786	3.2	1698
tt0096797	5.4	77
tt0096811	6.3	213
tt0096817	5.9	27
tt0096825	3.5	51
tt0096830	3.9	369
tt0096837	4.6	80
tt0096845	6.2	58
tt0096857	5.9	116
tt0096859	6	333
tt0096860	3.2	33
tt0096871	6	1956
tt0096875	5.3	4054
tt0096877	3.6	132
tt0096879	5.9	38
tt0096883	5	35
tt0096903	6.3	463
tt0096910	5.2	18
tt0096937	6.8	105
tt0096954	4.5	539
tt0096984	6.6	30
tt0096992	6.9	29
tt0096995	3.5	137
tt0097004	3.9	1018
tt0097013	7.2	174
tt0097038	6.8	258
tt0097049	5.3	506
tt0097057	6.7	38
tt0097062	7.2	694
tt0097064	5.6	47
tt0097066	7.7	32
tt0097079	5.9	80
tt0097106	7.1	4895
tt0097111	6.3	38
tt0097115	5.7	869
tt0097122	6.9	9
tt0097129	6	115
tt0097140	6.9	104
tt0097154	5.2	16
tt0097176	5.3	742
tt0097183	4.8	8
tt0097184	4.7	194
tt0097204	4.5	29
tt0097253	7.5	1401
tt0097259	3.8	98
tt0097298	2.7	177
tt0097310	6.7	7
tt0097318	3.8	95
tt0097339	7	162
tt0097348	6.1	339
tt0097362	6.2	96
tt0097365	3.7	1621
tt0097394	6	194
tt0097405	4.6	113
tt0097416	7.1	2018
tt0097436	6	700
tt0097462	6.3	39
tt0097475	7.2	25
tt0097505	4	128
tt0097506	5.8	70
tt0097516	5.3	108
